,Date,HourOfDay,kWh,Percent
313,08/30/2013,20,127.89999999999999,0.03260416666666666
314,05/31/2013,21,127.8,0.03270833333333333
315,06/23/2013,21,127.8,0.0328125
316,06/30/2013,21,127.8,0.032916666666666664
317,07/02/2013,21,127.69999999999999,0.03302083333333333
318,06/18/2013,20,127.5,0.033125
319,07/01/2013,21,127.5,0.033229166666666664
320,07/02/2013,20,127.4,0.03333333333333333
321,04/18/2013,21,127.2,0.0334375
322,07/01/2013,20,127.2,0.033541666666666664
323,05/09/2013,20,127.19999999999999,0.03364583333333333
324,07/10/2013,22,127.19999999999999,0.03375
325,10/13/2013,19,127.19999999999999,0.033854166666666664
326,10/06/2013,19,127.1,0.03395833333333333
327,09/30/2013,19,127.0,0.0340625
328,07/01/2013,22,126.9,0.034166666666666665
329,07/02/2013,22,126.8,0.034270833333333334
330,10/18/2013,19,126.8,0.034375
331,03/14/2013,19,126.3,0.034479166666666665
332,10/02/2013,19,126.1,0.034583333333333334
333,10/10/2013,19,126.0,0.0346875
334,10/05/2013,19,125.80000000000001,0.034791666666666665
335,09/28/2013,19,125.7,0.034895833333333334
336,10/11/2013,19,125.39999999999999,0.035
337,09/29/2013,19,125.19999999999999,0.035104166666666665
338,08/15/2013,20,124.9,0.035208333333333335
339,09/25/2013,19,124.1,0.0353125
340,10/04/2013,19,123.7,0.035416666666666666
341,09/22/2013,19,123.6,0.035520833333333335
342,09/26/2013,19,123.4,0.035625
343,09/27/2013,19,123.2,0.035729166666666666
344,09/21/2013,19,122.6,0.035833333333333335
345,11/12/2013,18,122.6,0.0359375
346,09/23/2013,19,122.5,0.036041666666666666
347,11/01/2013,21,121.5,0.036145833333333335
348,07/02/2013,19,121.0,0.03625
349,03/15/2013,19,120.9,0.03635416666666667
350,09/20/2013,19,119.9,0.036458333333333336
351,09/17/2013,19,119.8,0.0365625
352,09/19/2013,19,119.4,0.03666666666666667
353,08/30/2013,19,119.19999999999999,0.036770833333333336
354,05/05/2013,20,117.6,0.036875
355,06/28/2013,19,117.2,0.03697916666666667
356,09/15/2013,19,117.1,0.037083333333333336
357,03/18/2013,19,116.2,0.0371875
358,03/24/2013,21,115.6,0.03729166666666667
359,05/23/2013,20,114.6,0.037395833333333336
360,05/07/2013,20,113.9,0.0375
361,05/08/2013,20,113.0,0.03760416666666667
362,06/12/2013,22,112.5,0.03770833333333334
363,10/29/2013,17,112.5,0.0378125
364,03/13/2013,19,112.3,0.03791666666666667
365,09/14/2013,20,111.6,0.03802083333333333
366,03/21/2013,19,110.7,0.038125
367,05/16/2013,20,110.1,0.03822916666666667
368,03/20/2013,19,109.4,0.03833333333333333
369,10/23/2013,21,109.2,0.0384375
370,11/13/2013,21,108.0,0.03854166666666667
371,10/24/2013,21,107.89999999999999,0.03864583333333333
372,11/12/2013,21,107.6,0.03875
373,04/22/2013,22,107.3,0.03885416666666667
374,11/01/2013,22,106.69999999999999,0.03895833333333333
375,10/28/2013,22,106.6,0.0390625
376,11/14/2013,18,105.89999999999999,0.03916666666666667
377,04/03/2013,22,105.8,0.03927083333333333
378,04/01/2013,22,105.60000000000001,0.039375
379,10/29/2013,21,105.6,0.03947916666666667
380,05/12/2013,20,105.4,0.03958333333333333
381,03/22/2013,19,105.39999999999999,0.0396875
382,10/21/2013,22,104.89999999999999,0.03979166666666667
383,03/19/2013,19,104.8,0.03989583333333333
384,10/14/2013,19,104.5,0.04
385,10/01/2013,21,104.3,0.04010416666666667
386,11/11/2013,22,104.10000000000001,0.04020833333333333
387,10/18/2013,21,104.1,0.0403125
388,04/07/2013,21,103.9,0.04041666666666666
389,05/13/2013,20,103.69999999999999,0.04052083333333333
390,11/09/2013,17,103.69999999999999,0.040625
391,04/08/2013,22,103.6,0.040729166666666664
392,10/11/2013,21,103.6,0.04083333333333333
393,11/17/2013,17,103.5,0.0409375
394,11/06/2013,17,103.2,0.041041666666666664
395,11/08/2013,17,103.10000000000001,0.04114583333333333
396,11/07/2013,17,103.1,0.04125
397,11/10/2013,17,103.0,0.041354166666666664
398,09/27/2013,21,102.5,0.04145833333333333
399,11/05/2013,17,102.5,0.0415625
400,10/04/2013,21,102.4,0.041666666666666664
401,05/14/2013,20,102.19999999999999,0.04177083333333333
402,05/30/2013,20,102.0,0.041875
403,04/29/2013,22,101.4,0.041979166666666665
404,09/24/2013,21,101.4,0.042083333333333334
405,09/16/2013,21,100.9,0.0421875
406,08/23/2013,22,100.10000000000001,0.042291666666666665
407,10/25/2013,22,100.1,0.042395833333333334
408,05/01/2013,22,99.9,0.0425
409,09/11/2013,21,99.9,0.042604166666666665
410,08/20/2013,21,99.80000000000001,0.042708333333333334
411,09/13/2013,21,99.8,0.0428125
412,09/20/2013,21,99.8,0.042916666666666665
413,04/15/2013,22,99.7,0.043020833333333335
414,11/02/2013,18,99.7,0.043125
415,07/31/2013,22,99.60000000000001,0.043229166666666666
416,05/20/2013,22,99.6,0.043333333333333335
417,08/14/2013,22,99.4,0.0434375
418,09/06/2013,21,99.4,0.043541666666666666
419,09/09/2013,21,99.39999999999999,0.043645833333333335
420,11/04/2013,22,99.39999999999999,0.04375
421,07/24/2013,22,99.30000000000001,0.043854166666666666
422,05/06/2013,22,99.3,0.043958333333333335
423,05/08/2013,22,99.3,0.0440625
424,05/13/2013,22,99.3,0.04416666666666667
425,11/03/2013,18,99.2,0.044270833333333336
426,08/07/2013,22,99.19999999999999,0.044375
427,09/04/2013,21,99.10000000000001,0.04447916666666667
428,04/24/2013,22,99.1,0.044583333333333336
429,06/18/2013,19,98.9,0.0446875
430,08/08/2013,22,98.89999999999999,0.04479166666666667
431,04/17/2013,22,98.8,0.044895833333333336
432,05/29/2013,22,98.7,0.045
433,06/24/2013,22,98.7,0.04510416666666667
434,06/26/2013,22,98.7,0.045208333333333336
435,05/15/2013,20,98.6,0.0453125
436,05/22/2013,22,98.6,0.04541666666666667
437,05/27/2013,22,98.6,0.04552083333333334
438,06/05/2013,22,98.5,0.045625
439,10/26/2013,22,98.5,0.04572916666666667
440,11/01/2013,18,98.5,0.04583333333333333
441,06/03/2013,22,98.4,0.0459375
442,06/17/2013,22,98.4,0.04604166666666667
