Date,Use_kWh
2011-03-08,13094.8
2011-03-09,13249.2
2011-03-10,13244.1
2011-03-11,12865.2
2011-03-12,12644.0
2011-03-13,12065.7
2011-03-14,12989.9
2011-03-15,13133.4
2011-03-16,13072.8
2011-03-17,13122.4
2011-03-18,12989.4
2011-03-19,13074.8
2011-03-20,13156.6
2011-03-21,13244.9
2011-03-22,13088.0
2011-03-23,13229.7
2011-03-24,13229.4
2011-03-25,13056.2
2011-03-26,12576.9
2011-03-27,12577.4
2011-03-28,13028.0
2011-03-29,13029.0
2011-03-30,12938.3
2011-03-31,13158.8
2011-04-01,13023.1
2011-04-02,12587.8
2011-04-03,12672.7
2011-04-04,13243.4
2011-04-05,13563.5
2011-04-06,13555.0
2011-04-07,13230.1
2011-04-08,13016.3
2011-04-09,12738.3
2011-04-10,12717.4
2011-04-11,13475.5
2011-04-12,13377.8
2011-04-13,13234.6
2011-04-14,13322.4
2011-04-15,13209.6
2011-04-16,12935.1
2011-04-17,12649.2
2011-04-18,13239.2
2011-04-19,13414.7
2011-04-20,13505.3
2011-04-21,13352.7
2011-04-22,13190.6
2011-04-23,12952.0
2011-04-24,13100.2
2011-04-25,13761.4
2011-04-26,13769.6
2011-04-27,14077.1
2011-04-28,13857.2
2011-04-29,13236.9
2011-04-30,12805.2
2011-05-01,12708.2
2011-05-02,13381.4
2011-05-03,13778.5
2011-05-04,13324.7
2011-05-05,13271.5
2011-05-06,13207.9
2011-05-07,12718.3
2011-05-08,12830.7
2011-05-09,13228.9
2011-05-10,13349.6
2011-05-11,13487.6
2011-05-12,13592.5
2011-05-13,13500.5
2011-05-14,13001.6
2011-05-15,13077.8
2011-05-16,13536.4
2011-05-17,13617.5
2011-05-18,13663.0
2011-05-19,13752.9
2011-05-20,13594.9
2011-05-21,13256.9
2011-05-22,13482.2
2011-05-23,14730.5
2011-05-24,15924.1
2011-05-25,14908.3
2011-05-26,15183.1
2011-05-27,14718.5
2011-05-28,13634.0
2011-05-29,13935.0
2011-05-30,14295.8
2011-05-31,15551.9
2011-06-01,15950.3
2011-06-02,13907.8
2011-06-03,13453.9
2011-06-04,13095.4
2011-06-05,13185.4
2011-06-06,13689.1
2011-06-07,14239.3
2011-06-08,15028.9
2011-06-09,16154.2
2011-06-10,14824.4
2011-06-11,14619.9
2011-06-12,14063.4
2011-06-13,13617.0
2011-06-14,13394.4
2011-06-15,13350.7
2011-06-16,13809.5
2011-06-17,13848.9
2011-06-18,13746.5
2011-06-19,13575.1
2011-06-20,13852.1
2011-06-21,14800.2
2011-06-22,15360.6
2011-06-23,15432.4
2011-06-24,14109.9
2011-06-25,13298.9
2011-06-26,13215.7
2011-06-27,13840.2
2011-06-28,14356.6
2011-06-29,13847.7
2011-06-30,13812.1
2011-07-01,13690.6
2011-07-02,13376.0
2011-07-03,13756.3
2011-07-04,13735.1
2011-07-05,14283.8
2011-07-06,14052.5
2011-07-07,14651.7
2011-07-08,14520.5
2011-07-09,14292.1
2011-07-10,13317.4
2011-07-11,14368.0
